name,from,address,square_metre,price,type,rooms_amount,link
3D visning: Diverse Jente/DelteStudentkollektiv Nygårdsgaten.,Privat,"NYGÅRDSGATEN 60, Bergen",14,5600,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=100161063
Super sentralt rom i hyggelig kollektiv,Privat,"Fosswinckels gate 11, Bergen",12,6800,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=309556992
Nydelig møblert leilighet med 3 soverom og  balkong - ingen husleie om sommeren,Hybel.no,"Nygårdsgaten 94, Bergen",85,24900,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=311579345
"3-roms leilighet - sentral beliggenhet inkl. strøm, internett",Privat,Bergen,62,16900,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=306117215
FULLT MØBLERT LEILIGHET TIL LEIE SENTRALT I BERGEN,Privat,"MAGNUS BARFOTS GATE 14, Bergen",33,9500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311555567
3D-visning | Få rom ledig | Fibernett inkl. | Klar for overtakelse 01.08! | Bergen sentrum,Privat,"KONG OSCARS GATE 79, Bergen",11,4990,Rom i bofellesskap,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=226302986
Supersentralt rett Jernbanestasjon 3 rom ledig,Hybel.no,"Jernbanebakken 7, Bergen",8,5500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=266144969
Strøken og nyoppusset bygårdsleilighet midt i sentrum,Privat,"Professor Keysers Gate 2A, Bergen",22,11500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311318264
"Nyrenovert og lekker, midt i byen - rimelig leie",Tufte Eigendom AS,"NYGÅRDSGATEN 45, Bergen",45,13500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311391438
Studio apartment for rent - Only for July and August,Privat,"SKIVEBAKKEN 14, Bergen",20,8500,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=304926718
Sikre deg rom i jentekollektiv ved Universitetet fra August.,Privat,"NYGÅRDSGATEN 60, Bergen",12,5750,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=100161263
Romslig nyoppusset leilighet midt i sentrum,Hybel.no,"St. Jakobs Plass 7, Bergen",100,29500,Leilighet,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=311360959
"Nygård | Stor 4-roms leilighet midt i sentrum! Meget attraktiv beliggenhet, like ved UIB og BI!",Privat,"NYGÅRDSGATEN 82 A, Bergen",88,24000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=87135665
3D- VISNING! Jente/ deltekollektiv. VI har noen få rom igjen ved UIB / Bergen Sentrum,Privat,"NYGÅRDSGATEN 66, Bergen",12,5900,Rom i bofellesskap,7,https://www.finn.no/realestate/lettings/ad.html?finnkode=224147720
