name,from,address,square_metre,price,type,rooms_amount,link
Stor og lys 2-roms leilighet - perfekt for par,Privat,"SANDAKERVEIEN 46 C, Oslo",56,19000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=91119175
"Helt ny hybel på Løren m/takterrasse, overtakelse 21. aug. Strøm, varmtvann, hvitevarer, internett inkl.",Privat,"Børsteveien 5, Oslo",22,14000,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310086631
Korttidsleie i høst: hyggelig leilighet i gamlebyen,Privat,Oslo,58,18500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310085827
Løren/Gartnerkvartalet - Praktisk og moderne hybel i nyere bygg. Alt inkl. i husleien. Ledig fra 01.08.2023,Privat,"Lørenveien 54B, 0585 Oslo, Oslo",21,13000,Hybel,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=171943770
LEDIG-Garasje til leie i Munthesgate ved Tidemands gate/Vestkantorget-0260 Oslo,Privat,Oslo,13,1800,Garasje/Parkering,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=127205935
"Garasjeplass med EL-lader Teaterplassen til leie - Bjørvika / Grønland / Barcode, sentralt",Privat,"Rubina ranas gate, Oslo",12,1990,Garasje/Parkering,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=204997543
Sjelfullt hjem med nydelig utsikt og markanærhet,Privat,"Trasopterrassen 3a, Oslo",65,17000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=219890548
"fin, koselig og lys 2-roms med balkong i Nydalen/Storo",Privat,"GUNNAR SCHJELDERUPS VEI 11 K, Oslo",48,15500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=309513189
"UTLEID - 10 AUG! Korttids(Short Term)! 1 Rom i leilighet leies - Løren, Grunerløkka (u/Parkering)",Privat,"Lørenveien 69A, Oslo",15,10500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=305285731
"Ønsker du  å bo sentralt på Alnabru,  det har du mulighet her .",Privat,"Tittutveien 1A, Oslo",126,28000,Tomannsbolig,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310040068
"NYDALEN - Pen,  1-roms i 4. etasje | ""Alt"" inkludert i husleien - Ledig 15.10 - inkl. fyring / oppvarming,  varmt vann og strøm",Heimstaden AS,"Gunnar Schjelderups vei (Bygg D) 33, Oslo",16,11400,Leilighet,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310046727
Perfekt for studenter./eller en familie.,Privat,Oslo,85,26500,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310039492
MAJORSTUEN: 1-roms med balkong. Sentral beliggenhet. Inkl: Varmtvann og internett. TA KONTAKT FOR VISNING.,Utleiemegleren Nydalen As,"Maries gate 6, Oslo",26,12000,Leilighet,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310041800
